u,v,length,highway,geometry,edge_id
308769348,1596076622,346.591,tertiary,"LINESTRING (77.6620202 12.843271, 77.6623689 12.8424754, 77.6626156 12.8419126, 77.662875 12.8413208, 77.6632855 12.8404086)",1
308769348,9694860596,175.47199999999998,tertiary,"LINESTRING (77.6620202 12.843271, 77.6618972 12.8432978, 77.6617713 12.8433212, 77.6615996 12.843338, 77.6614789 12.8433427, 77.6611705 12.8433547, 77.6610337 12.8433643, 77.6609302 12.8433715, 77.6604211 12.8434814)",2
308769352,308769348,208.697,tertiary,"LINESTRING (77.6636576 12.8423077, 77.6631274 12.8427187, 77.6630581 12.8427638, 77.6627927 12.8429363, 77.6624751 12.8430702, 77.6620202 12.843271)",3
308769352,11025029448,232.20900000000003,"['residential', 'unclassified']","LINESTRING (77.6636576 12.8423077, 77.664026 12.84312, 77.6640408 12.8431509, 77.6644046 12.8439094, 77.6644436 12.8439793, 77.6646991 12.8439823)",4
308769355,308769352,135.622,tertiary,"LINESTRING (77.664823 12.8418713, 77.6647881 12.8418819, 77.6643462 12.8420158, 77.6637797 12.8422417, 77.6636576 12.8423077)",5
308769355,308769461,644.4980000000002,tertiary,"LINESTRING (77.664823 12.8418713, 77.6651379 12.8418577, 77.6658881 12.8418715, 77.6667857 12.8418798, 77.6672897 12.841945, 77.6678164 12.8420295, 77.6682074 12.8421246, 77.6689398 12.8423748, 77.6694505 12.8426063, 77.6698658 12.8429139, 77.6704038 12.8433124)",6
308769355,3544022991,404.161,tertiary,"LINESTRING (77.664823 12.8418713, 77.6651955 12.8425979, 77.6653671 12.8431335, 77.665405 12.8433406, 77.6654529 12.8436021, 77.6654794 12.8440254, 77.6654931 12.8442775, 77.6655761 12.8453387, 77.6655778 12.8453831)",7
308769461,308769463,267.421,tertiary,"LINESTRING (77.6704038 12.8433124, 77.6705403 12.8434231, 77.6708983 12.8436901, 77.6713677 12.8440402, 77.6717348 12.8443139, 77.6718513 12.8444008, 77.6720251 12.8445306, 77.6720755 12.8445636, 77.6722507 12.8446784, 77.6723662 12.8447684)",8
308769461,308769355,644.498,tertiary,"LINESTRING (77.6704038 12.8433124, 77.6698658 12.8429139, 77.6694505 12.8426063, 77.6689398 12.8423748, 77.6682074 12.8421246, 77.6678164 12.8420295, 77.6672897 12.841945, 77.6667857 12.8418798, 77.6658881 12.8418715, 77.6651379 12.8418577, 77.664823 12.8418713)",9
308769461,7370971230,487.7899999999999,tertiary,"LINESTRING (77.6704038 12.8433124, 77.6705055 12.8431823, 77.6706735 12.8429674, 77.6708489 12.8427431, 77.6710242 12.8425189, 77.6710444 12.8424931, 77.67126 12.8422174, 77.6714155 12.8420186, 77.6715151 12.8414145, 77.6716094 12.841081, 77.6717387 12.8407947, 77.6721131 12.840187, 77.6723014 12.8398814, 77.6722884 12.8398267, 77.6722884 12.8397274, 77.6722079 12.8395704, 77.6721715 12.8394846)",10
